net,length_um
fifo1.mem\[6\]\[2\],48.24
_2018_,48.2
_1504_,47.98
_1041_,47.76
fifo2.mem\[10\]\[3\],47.74
fifo3.mem\[12\]\[2\],47.52
_1532_,47.42
_0674_,47.32
_0534_,47.065
fifo2.rd_pointer\[0\],46.78
fifo1.mem\[6\]\[3\],46.74
_1879_,46.7
clknet_leaf_53_clock,46.48
clknet_leaf_57_clock,46.46
_1372_,46.12
clknet_leaf_31_clock,46.12
fifo2.mem\[15\]\[2\],45.76
fifo3.mem\[10\]\[8\],45.685
_1090_,45.61
_0898_,45.52
fifo2.mem\[8\]\[3\],45.3
net36,45.08
fifo2.mem\[2\]\[1\],44.995
_1915_,44.92
fifo2.mem\[10\]\[4\],44.8
fifo1.mem\[15\]\[1\],44.54
regis.header_byte\[1\],44.44
_1813_,44.43
net44,44.355
_0532_,44.145
_1202_,44.02
_1992_,43.97
_1370_,43.82
_1534_,43.56
_1861_,43
_1501_,42.98
_1820_,42.98
_1933_,42.94
_1244_,42.9
_2007_,42.8
fsm1.addr\[1\],42.72
_1404_,42.71
regis.header_byte\[2\],42.665
fifo1.mem\[4\]\[1\],42.62
fifo1.count\[0\],42.56
_1969_,42.52
_0749_,42.445
_0701_,42.34
_0777_,42.26
fsm1.present_state\[1\],42.1
fifo3.mem\[1\]\[8\],41.9
_1923_,41.76
fifo3.mem\[12\]\[5\],41.66
_0976_,41.63
_1249_,41.58
fifo2.mem\[8\]\[4\],41.38
fifo2.mem\[8\]\[5\],41.28
_1624_,41.14
fifo2.mem\[15\]\[1\],41.06
_1487_,41.04
_1677_,41.04
_1967_,41.03
_1928_,40.96
_1069_,40.86
_0539_,40.825
fifo3.mem\[10\]\[4\],40.74
clknet_leaf_18_clock,40.74
fsm1.full_state,40.5
_1648_,40.3
_1750_,40.3
_2011_,39.515
_1199_,39.39
fifo2.mem\[15\]\[3\],39.36
fifo3.count\[3\],39.23
_2012_,39.18
_1964_,39.1
clknet_leaf_44_clock,39.015
_0780_,38.94
_1168_,38.68
_1077_,38.48
_0773_,38.28
fifo2.rd_pointer\[3\],38.01
syn.count2\[2\],37.94
_1520_,37.8
net15,37.78
fifo1.mem\[15\]\[0\],37.74
fifo1.data_in\[4\],37.6
_2026_,37.52
fifo2.count\[5\],37.46
fifo2.mem\[5\]\[8\],37.32
fifo3.mem\[10\]\[1\],37.265
_2098_,37.04
fifo1.wr_pointer\[2\],36.98
fifo3.mem\[9\]\[7\],36.86
fifo2.mem\[2\]\[0\],36.625
fifo2.mem\[1\]\[2\],36.56
net43,36.505
fifo2.mem\[6\]\[5\],36.4
clknet_leaf_46_clock,36.3
fifo3.mem\[12\]\[6\],36.16
_1642_,35.96
_1808_,35.74
_1999_,35.64
fifo3.wr_pointer\[1\],35.34
syn.count1\[3\],35.225
_1529_,35.08
_1264_,35.04
_2010_,34.94
net48,34.94
_1733_,34.9
_0625_,34.84
_0663_,34.8
_0873_,34.76
_1836_,34.7
_1464_,34.58
fifo2.mem\[2\]\[6\],34.5
_1634_,34.46
_1637_,34.38
_2031_,34.36
fifo3.mem\[7\]\[7\],34.255
_1847_,34.22
_1620_,34.16
_1255_,34.08
fifo2.mem\[15\]\[0\],34.08
fifo1.mem\[15\]\[3\],33.98
_1600_,33.76
_1227_,33.56
_1272_,33.555
_1655_,33.52
fifo2.rd_pointer\[4\],33.5
fifo3.count\[1\],33.42
_1424_,33.4
_2048_,33.32
fifo2.count\[3\],33.315
fifo1.count\[1\],33.16
fifo3.count\[0\],33.12
fifo3.mem\[1\]\[5\],32.98
syn.count2\[1\],32.9
_1819_,32.82
_1479_,32.76
_1286_,32.64
syn.count0\[3\],32.62
_2082_,32.52
fifo3.rd_pointer\[2\],32.5
_1903_,32.26
_1238_,32.22
_0827_,32.2
_1676_,32.16
_2087_,32.16
fifo2.mem\[10\]\[8\],32.14
_0728_,32.12
net34,32.08
_1822_,32.07
_1815_,32.04
_1870_,31.96
_1522_,31.92
_1856_,31.88
_0648_,31.84
_0882_,31.82
_1917_,31.58
_1934_,31.52
fifo2.mem\[10\]\[5\],31.32
regis.header_byte\[0\],31.285
fifo3.mem\[12\]\[4\],31.22
fifo2.count\[0\],31.2
_1259_,31.07
syn.count0\[1\],31.055
_1050_,31.02
_0836_,30.81
fifo3.mem\[12\]\[7\],30.8
_1095_,30.78
fifo1.rd_pointer\[3\],30.76
_1823_,30.68
_0868_,30.43
_1692_,30.4
_2044_,30.3
fifo3.mem\[2\]\[0\],30.185
syn.count2\[3\],30.18
net46,30.18
fifo3.mem\[13\]\[0\],30.04
fifo3.rd_pointer\[3\],29.92
_1826_,29.82
net29,29.7
_1945_,29.36
_1346_,29.125
fifo1.data_in\[5\],28.94
_0624_,28.9
_1322_,28.88
_0862_,28.83
_0774_,28.74
_1477_,28.74
_1883_,28.58
_1092_,28.48
fifo1.mem\[6\]\[4\],28.4
syn.count0\[2\],28.38
fifo2.rd_pointer\[1\],28.32
fifo3.mem\[13\]\[8\],28.24
_1208_,28.22
regis.packet_parity\[2\],28.1
fifo2.mem\[8\]\[1\],27.94
fifo3.count\[5\],27.81
fifo3.count\[2\],27.74
syn.count1\[0\],27.74
_1566_,27.7
fifo2.mem\[1\]\[4\],27.56
fifo2.mem\[1\]\[8\],27.52
_2035_,27.48
_1952_,27.34
fifo1.count\[3\],27.3
fifo2.mem\[11\]\[1\],27.28
_1660_,27.14
fifo3.mem\[8\]\[1\],27.14
_2056_,27.12
_1615_,26.98
_1890_,26.88
