net,length_um
_0045_,5.425
_0074_,5.425
_1039_,5.41
_0948_,5.4
_1343_,5.4
_1798_,5.4
_1920_,5.4
net289,5.4
_0017_,5.38
_0675_,5.38
_1071_,5.38
_1222_,5.38
_1299_,5.38
_1383_,5.38
fifo2.mem\[5\]\[3\],5.38
fifo3.mem\[10\]\[2\],5.38
net81,5.38
net96,5.38
net153,5.38
net242,5.38
_1762_,5.375
_0279_,5.345
_0985_,5.34
_1230_,5.34
_1886_,5.34
_1956_,5.34
_1997_,5.34
data_in[5],5.31
_0047_,5.305
_0097_,5.305
_0124_,5.305
_0221_,5.305
_0307_,5.305
_0412_,5.305
_0462_,5.305
_0518_,5.305
_0245_,5.28
_0718_,5.28
_1811_,5.28
_0142_,5.265
_0425_,5.26
_1068_,5.26
_1084_,5.26
_1281_,5.26
_1304_,5.26
_1392_,5.26
_1403_,5.26
_0472_,5.245
_0538_,5.245
_0606_,5.24
_1207_,5.22
net38,5.22
net297,5.22
data_in[1],5.19
valid_out_0,5.19
_0198_,5.185
_0347_,5.185
_0535_,5.185
_0471_,5.18
_0024_,5.16
_0098_,5.16
_0262_,5.16
_0594_,5.16
_1148_,5.16
_1367_,5.16
_1618_,5.16
_1004_,5.14
_1591_,5.14
regis.packet_parity\[1\],5.14
_2077_,5.12
_0164_,5.085
_0249_,5.085
_0324_,5.085
_0353_,5.085
data_out_2[3],5.07
data_out_2[7],5.07
_0903_,5.06
net97,5.06
net110,5.06
net120,5.06
net125,5.06
net229,5.06
net330,5.06
net339,5.06
_0374_,5.045
_0422_,5.045
_1085_,5.04
_1318_,5.04
_2014_,5.02
fifo1.mem\[11\]\[3\],5.02
net141,5.02
_0428_,5.005
_0350_,4.985
_0235_,4.965
_0313_,4.965
_0064_,4.925
_0096_,4.925
_0843_,4.92
_1345_,4.92
_1350_,4.92
_1606_,4.92
_1980_,4.92
_1982_,4.92
fifo2.mem\[5\]\[5\],4.92
net66,4.92
net159,4.92
net165,4.92
net205,4.92
net252,4.92
_0172_,4.905
_0700_,4.88
_1769_,4.88
_1842_,4.88
_1911_,4.88
_2096_,4.88
fifo2.mem\[14\]\[1\],4.88
data_out_0[5],4.85
_0041_,4.845
_0099_,4.845
_0117_,4.845
_0149_,4.845
_0199_,4.845
_0263_,4.845
_0354_,4.845
_0453_,4.845
_0529_,4.845
_0557_,4.845
_0806_,4.82
_0940_,4.82
_1482_,4.82
_1927_,4.82
_1127_,4.8
_1590_,4.8
_1881_,4.8
_1912_,4.8
_2016_,4.8
net158,4.8
_0945_,4.76
_1583_,4.76
_1663_,4.76
_2029_,4.76
_1266_,4.75
_0042_,4.725
_0281_,4.725
_0522_,4.72
_0082_,4.7
_0496_,4.7
_1313_,4.7
_1631_,4.7
_2041_,4.7
_1156_,4.68
_1833_,4.68
fifo2.mem\[8\]\[8\],4.68
net129,4.68
_0285_,4.675
_1334_,4.67
_0811_,4.66
_0103_,4.635
_0147_,4.625
_0244_,4.625
_0568_,4.625
_0458_,4.605
net50,4.6
net54,4.6
net152,4.6
_0065_,4.585
_1568_,4.58
_0671_,4.56
_0260_,4.555
_1711_,4.54
net337,4.54
_0170_,4.525
_0222_,4.525
_0900_,4.52
_0360_,4.505
_1344_,4.48
_1708_,4.48
_1739_,4.48
_2037_,4.48
_2063_,4.48
_2086_,4.48
net130,4.48
_0695_,4.46
_0787_,4.46
_0978_,4.46
_1047_,4.46
_1218_,4.46
_1422_,4.46
_1899_,4.46
_2067_,4.46
_2092_,4.46
net61,4.46
net79,4.46
net137,4.46
net258,4.46
_1978_,4.44
fifo2.mem\[7\]\[5\],4.44
_0014_,4.425
_0603_,4.425
_0994_,4.42
_1456_,4.42
_1460_,4.42
_1649_,4.42
_0448_,4.405
_0503_,4.405
data_out_1[1],4.39
data_out_1[2],4.39
_0021_,4.385
_0083_,4.385
_0201_,4.385
_0229_,4.385
_0294_,4.385
_0431_,4.385
_0511_,4.385
_0937_,4.36
net62,4.36
net154,4.36
net313,4.345
_1593_,4.34
_1613_,4.34
_1646_,4.34
_1685_,4.34
_1868_,4.34
fifo3.mem\[13\]\[2\],4.34
_0516_,4.325
_0537_,4.265
_0071_,4.24
_0258_,4.24
_0376_,4.24
_1070_,4.24
_1300_,4.24
_1674_,4.24
_0485_,4.22
_0631_,4.22
_0699_,4.22
fifo3.mem\[3\]\[7\],4.22
_2058_,4.2
_0492_,4.195
_0162_,4.165
_0303_,4.165
_0344_,4.165
_0455_,4.165
_0478_,4.165
_0509_,4.165
_0589_,4.165
_0118_,4.145
_0620_,4.14
_0821_,4.14
_1268_,4.14
_1382_,4.14
_1670_,4.14
_2043_,4.14
net80,4.14
net82,4.14
net105,4.14
net202,4.14
net292,4.14
_1755_,4.12
_0707_,4.1
_1162_,4.1
_2093_,4.1
_0264_,4.085
_0427_,4.085
_0248_,4.065
_0018_,4.025
_1661_,4.02
_2001_,4.02
_1088_,4
_1149_,4
_1782_,4
net228,4
_0259_,3.985
_1592_,3.98
fifo2.mem\[4\]\[2\],3.98
_0574_,3.975
_0056_,3.965
_0558_,3.965
_0572_,3.965
_0233_,3.945
data_out_0[2],3.93
_0075_,3.925
_0114_,3.925
_0119_,3.925
_0122_,3.925
_0180_,3.925
_0368_,3.925
_0380_,3.925
_0460_,3.925
_0461_,3.925
_0502_,3.925
_1250_,3.9
_1277_,3.9
_1932_,3.9
_1644_,3.88
net68,3.88
net168,3.88
net325,3.88
_0020_,3.805
_0156_,3.78
_0231_,3.78
_1251_,3.78
_1247_,3.76
fifo1.mem\[0\]\[2\],3.76
_1825_,3.74
_0181_,3.705
_0266_,3.705
_0363_,3.705
_0450_,3.705
_0582_,3.705
_0031_,3.685
_0338_,3.685
_0609_,3.68
_1285_,3.68
net49,3.68
net56,3.68
net75,3.68
net135,3.68
net146,3.68
net151,3.68
net203,3.68
net213,3.68
net217,3.68
net220,3.68
net250,3.68
net269,3.68
net295,3.68
net306,3.68
_0439_,3.66
_1854_,3.66
_1858_,3.66
_1412_,3.64
_0437_,3.635
_0076_,3.605
_0125_,3.605
_0202_,3.605
_0370_,3.605
_0543_,3.565
_0798_,3.56
_1225_,3.56
_1248_,3.56
_1257_,3.56
_1577_,3.56
_1617_,3.56
_1935_,3.56
_2051_,3.56
_1981_,3.545
_0709_,3.54
_0788_,3.54
_0987_,3.54
_0991_,3.54
_0995_,3.54
_1075_,3.54
_1288_,3.54
_1365_,3.54
_1597_,3.54
_1679_,3.54
_1902_,3.54
_1985_,3.54
_2075_,3.54
net344,3.54
_0038_,3.515
_1301_,3.51
_0029_,3.505
_0079_,3.505
_0212_,3.505
_0487_,3.505
_0217_,3.465
_0270_,3.465
_0271_,3.465
_0305_,3.465
_0459_,3.465
_0545_,3.465
_0590_,3.465
_0528_,3.44
_0791_,3.44
_1131_,3.44
fifo3.mem\[5\]\[5\],3.44
_0913_,3.42
_1032_,3.42
_1058_,3.42
_1284_,3.42
_1576_,3.42
_1776_,3.42
_1994_,3.42
_2040_,3.42
_0476_,3.375
_0291_,3.345
_0317_,3.345
_0488_,3.32
_1720_,3.3
_0084_,3.245
_0110_,3.245
_0168_,3.245
_0183_,3.245
_0373_,3.245
_0426_,3.225
_0494_,3.225
_0527_,3.225
_0685_,3.22
_1008_,3.22
_1303_,3.22
_1888_,3.2
_0657_,3.18
_1235_,3.18
_0107_,3.175
_0150_,3.175
_0372_,3.175
_0447_,3.175
_0416_,3.165
_0190_,3.145
_0467_,3.145
_0608_,3.1
_0794_,3.1
_0895_,3.1
_1053_,3.1
_1055_,3.1
_1128_,3.1
_1647_,3.1
_1963_,3.1
_2078_,3.1
_0796_,3.08
_1080_,3.08
_1959_,3.08
fifo1.mem\[14\]\[7\],3.08
net64,3.08
net92,3.08
net113,3.08
net169,3.08
_1581_,3.06
_1599_,3.06
_0154_,3.045
_0310_,3.045
_0446_,3.045
_0573_,3.045
_0090_,3.005
_0163_,3.005
_0210_,3.005
_0311_,3.005
_0484_,3.005
_0579_,3.005
_0599_,3.005
_0054_,2.98
_0481_,2.98
_0998_,2.96
_1009_,2.96
_1132_,2.96
_1269_,2.96
_1307_,2.96
_1315_,2.96
_1498_,2.96
_1684_,2.96
_1747_,2.96
_2102_,2.96
net17,2.96
net19,2.96
net254,2.96
_0016_,2.945
_0055_,2.945
_0100_,2.945
_0116_,2.885
_0167_,2.885
_0160_,2.86
_0178_,2.86
_1515_,2.84
_0028_,2.785
_0067_,2.785
_0091_,2.785
_0108_,2.785
_0143_,2.785
_0144_,2.785
_0241_,2.785
_0452_,2.785
_0999_,2.76
_1020_,2.76
_1024_,2.76
_1376_,2.76
_1884_,2.76
_1906_,2.76
_2013_,2.76
_2054_,2.76
_0048_,2.715
_0061_,2.715
_0209_,2.715
_0223_,2.715
_0597_,2.715
_0686_,2.62
_0846_,2.62
_0973_,2.62
_1006_,2.62
_1028_,2.62
_1066_,2.62
_1578_,2.62
net148,2.62
net212,2.62
net224,2.62
net301,2.62
net336,2.62
_0115_,2.595
_0134_,2.585
_0152_,2.585
_0046_,2.545
_0050_,2.545
_0060_,2.545
_0140_,2.545
_0159_,2.545
_0391_,2.545
_0415_,2.545
_0486_,2.545
_0499_,2.545
_0195_,2.52
_0687_,2.52
_0711_,2.52
_1596_,2.52
_1253_,2.5
_1273_,2.5
_1279_,2.5
_1330_,2.5
_1453_,2.5
_1839_,2.5
_1930_,2.5
net24,2.5
net136,2.5
net294,2.5
_0254_,2.485
_0417_,2.485
_0341_,2.42
_0513_,2.42
_0580_,2.42
_1023_,2.4
_1223_,2.4
_1359_,2.4
_1707_,2.4
_1714_,2.4
_1946_,2.39
_0299_,2.375
_0063_,2.325
_0109_,2.325
_0111_,2.325
_0129_,2.325
_0137_,2.325
_0176_,2.325
_0275_,2.325
_0389_,2.325
_0491_,2.325
_0571_,2.325
_0676_,2.3
_1196_,2.3
_1210_,2.3
_1445_,2.28
_1608_,2.28
_0073_,2.26
_0138_,2.255
_0577_,2.255
_1630_,2.19
_2085_,2.18
_2089_,2.18
net185,2.18
net272,2.18
_1016_,2.16
_1138_,2.16
_1193_,2.16
_1204_,2.16
_1276_,2.16
_1323_,2.16
_1361_,2.16
_1524_,2.16
_1531_,2.16
_1650_,2.16
_1908_,2.16
_1937_,2.16
_1944_,2.16
_2028_,2.16
net298,2.16
_0102_,2.125
_0104_,2.125
_0146_,2.125
_0442_,2.125
_0507_,2.125
_0058_,2.085
_0155_,2.085
_0171_,2.085
_0309_,2.085
_0464_,2.085
_0466_,2.085
_0501_,2.085
_0591_,2.085
_0546_,2.08
_0193_,2.06
_0474_,2.06
_0490_,2.06
_0698_,2.06
_0706_,2.06
_1799_,2.06
_1873_,2.06
_1948_,2.06
_0992_,2.04
_1142_,2.04
_1668_,2.04
_0378_,2.035
_0218_,2.025
_0339_,1.975
_0878_,1.94
_1079_,1.94
_1364_,1.94
_0449_,1.915
_0088_,1.865
_0112_,1.865
_0123_,1.865
_0141_,1.865
_0145_,1.865
_0325_,1.865
_0328_,1.865
_0336_,1.865
_0337_,1.865
_0340_,1.865
_0356_,1.865
_0365_,1.865
_0463_,1.865
_0469_,1.865
_0575_,1.865
_0576_,1.865
_1474_,1.84
_1681_,1.84
_1863_,1.84
net175,1.84
net347,1.84
_1640_,1.82
_1217_,1.72
_1687_,1.72
_1336_,1.7
_1337_,1.7
_1594_,1.7
_1605_,1.7
net67,1.7
net70,1.7
net73,1.7
net239,1.7
_0820_,1.6
_0850_,1.6
_1025_,1.6
_0174_,1.575
_0809_,1.48
_0813_,1.48
_1645_,1.48
_1880_,1.48
_1936_,1.48
_2101_,1.48
_0089_,1.46
_0066_,1.405
_0284_,1.405
_0457_,1.405
_0477_,1.405
_0688_,1.38
_0899_,1.38
_0966_,1.38
_0968_,1.38
_1022_,1.38
_1029_,1.38
_1293_,1.38
_1472_,1.38
_1719_,1.38
_1853_,1.38
net265,1.38
net316,1.38
_0691_,1.26
_0804_,1.26
_1579_,1.26
_1651_,1.26
_1721_,1.26
_0812_,1.14
_0816_,1.14
_0822_,1.14
_0917_,1.14
regis.packet_parity\[0\],1.14
_2050_,1.02
_0847_,0.92
_1745_,0.92
net179,0.92
_1038_,0.8
_1983_,0.8
_1172_,0.46
_1245_,0.46
_1380_,0.46
_1395_,0.46
_2095_,0.46
net87,0.46
net89,0.46
net156,0.46
net163,0.46
net190,0.46
net192,0.46
net236,0.46
net238,0.46
net266,0.46
net302,0.46
net314,0.46
